SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
475,less than 20,0,1,0,3,1,3,0.6,1,319
475,less than 20,0,1,2,3,1,0,1.6,3,319
475,less than 20,1,1,1,3,1,5,0.5,0,319
475,less than 20,3,1,3,1,1,0,0.0,0,319
475,less than 20,0,1,1,0,1,14,3.4,0,319
475,less than 20,0,1,1,2,1,1,0.3,1,319
475,less than 20,1,1,2,2,1,0,0.7,1,319
475,less than 20,0,1,1,3,1,0,0.8,1,319
475,less than 20,1,1,1,4,1,3,-0.4,1,319
474,less than 20,2,1,2,2,1,3,-0.7,0,334
474,less than 20,1,1,1,5,1,1,0.4,1,334
474,less than 20,0,1,0,3,1,1,-0.3,1,334
474,less than 20,2,1,2,2,1,2,0.2,0,334
473,less than 20,0,1,0,5,1,1,-1.6,1,343
473,less than 20,0,1,0,4,1,1,-2.1,1,343
473,less than 20,1,1,2,3,1,1,1.8,0,343
473,less than 20,0,1,0,4,1,0,0.4,0,343
473,less than 20,0,1,0,2,0,0,-1.0,1,343
473,less than 20,1,1,1,4,1,0,1.1,0,343
473,less than 20,1,1,1,4,1,2,-0.2,2,343
473,less than 20,2,1,2,2,1,0,0.1,1,343
473,less than 20,0,1,0,0,0,0,-0.3,0,343
473,less than 20,0,1,0,4,1,9,3.7,0,343
472,less than 20,1,1,1,0,0,0,0.8,0,356
472,less than 20,0,1,0,6,1,0,2.7,0,356
472,less than 20,1,1,0,5,1,2,0.6,1,356
472,less than 20,1,1,1,1,0,3,1.1,1,356
472,less than 20,2,1,1,0,0,1,0.4,0,356
472,less than 20,1,1,1,2,1,3,2.2,0,356
471,less than 20,0,1,0,2,0,0,-0.4,0,363
471,less than 20,1,1,2,0,1,0,-1.9,0,363
471,less than 20,1,1,1,1,1,6,1.2,1,363
471,less than 20,0,1,0,7,1,1,0.9,2,363
471,less than 20,0,1,0,5,1,1,3.0,2,363
470,less than 20,2,1,2,2,1,2,0.8,0,371
470,less than 20,1,1,1,2,1,13,-0.9,0,371
470,less than 20,0,1,1,4,0,0,3.3,0,371
470,less than 20,0,1,0,3,0,3,2.3,0,371
470,less than 20,0,1,0,7,0,4,0.4,2,371
470,less than 20,1,1,1,3,1,2,-1.4,0,371
469,less than 20,3,1,2,0,0,3,0.4,0,381
469,less than 20,0,1,0,7,1,0,-0.4,1,381
469,less than 20,0,1,0,4,1,1,2.0,1,381
469,less than 20,0,1,1,3,1,0,-1.4,0,381
469,less than 20,0,1,0,5,1,1,-0.5,0,381
469,less than 20,0,1,0,3,1,10,-1.0,1,381
469,less than 20,0,1,0,5,1,8,-0.8,1,381
469,less than 20,0,1,1,5,1,1,2.1,0,381
469,less than 20,1,1,1,3,1,0,-0.8,3,381
469,less than 20,0,0,1,2,0,1,0.3,0,381
469,less than 20,0,0,0,0,0,0,-0.3,0,381
469,less than 20,2,1,1,0,0,0,-0.2,0,381
469,less than 20,0,1,0,5,1,0,0.1,1,381
469,less than 20,1,1,1,2,1,2,-3.4,0,381
469,less than 20,0,1,0,4,1,1,-0.9,0,381
468,less than 20,0,1,0,2,1,0,-1.1,1,399
468,less than 20,0,1,1,4,1,0,1.3,3,399
468,less than 20,2,1,1,4,1,0,0.1,0,399
468,less than 20,1,1,3,2,1,0,-0.7,1,399
468,less than 20,0,1,1,3,1,2,4.5,1,399
468,less than 20,1,1,2,3,1,3,-1.1,1,399
468,less than 20,1,1,0,2,1,2,-0.3,1,399
468,less than 20,0,1,0,0,0,0,-0.1,0,399
467,less than 20,0,1,1,1,1,1,3.8,1,410
467,less than 20,1,1,1,2,1,5,0.7,2,410
467,less than 20,0,1,0,0,0,0,-0.7,0,410
467,less than 20,0,1,2,3,1,0,1.1,0,410
467,less than 20,1,1,2,1,0,0,-0.4,0,410
467,less than 20,1,1,1,1,1,0,0.4,0,410
467,less than 20,1,1,1,1,1,2,0.3,0,410
467,less than 20,1,1,1,4,1,4,-0.2,2,410
467,less than 20,0,1,0,6,1,0,1.5,3,410
467,less than 20,0,1,1,1,0,0,0.6,1,410
467,less than 20,0,1,0,4,1,0,0.9,2,410
467,less than 20,1,1,1,4,1,1,-1.2,4,410
467,less than 20,1,1,1,2,1,3,0.3,0,410
467,less than 20,2,1,2,1,1,1,0.0,0,410
467,less than 20,1,1,1,2,1,9,1.3,0,410
466,less than 20,0,1,0,3,1,5,-0.6,1,429
466,less than 20,1,1,1,3,1,1,-4.2,1,429
466,less than 20,0,1,1,1,1,5,1.7,1,429
466,less than 20,2,1,2,3,1,1,-0.8,0,429
466,less than 20,2,1,1,3,1,0,-0.1,1,429
466,less than 20,1,1,3,2,1,0,-2.0,0,429
466,less than 20,2,1,1,2,1,2,0.1,1,429
466,less than 20,1,1,1,1,1,2,2.1,0,429
466,less than 20,0,1,0,5,1,0,0.4,2,429
466,less than 20,0,1,1,2,1,1,0.2,2,429
466,less than 20,0,1,0,5,1,0,-1.5,1,429
466,less than 20,1,1,3,1,1,0,-0.4,1,429
466,less than 20,1,1,1,7,1,0,-2.9,0,429
466,less than 20,2,1,2,1,1,4,0.2,0,429
466,less than 20,0,1,0,0,1,18,5.4,0,429
466,less than 20,2,1,2,1,1,0,0.9,0,429
465,less than 20,0,1,0,3,1,10,-0.2,0,446
465,less than 20,0,1,0,0,0,0,-0.9,0,446
465,less than 20,1,1,2,3,1,1,0.0,1,446
465,less than 20,1,1,1,1,1,7,1.0,0,446
465,less than 20,2,1,2,2,1,1,-0.5,0,446
465,less than 20,0,1,0,4,1,1,1.7,1,446
465,less than 20,1,1,1,3,1,3,1.1,2,446
465,less than 20,0,1,0,3,1,1,1.8,2,446
465,less than 20,2,1,2,2,1,3,-1.6,0,446
465,less than 20,2,1,1,1,1,1,-0.1,1,446
465,less than 20,0,1,1,1,1,5,0.0,1,446
464,less than 20,1,1,2,0,0,8,-0.3,0,458
464,less than 20,1,1,1,1,1,4,1.9,0,458
464,less than 20,1,1,1,0,1,4,0.3,0,458
464,less than 20,0,0,0,0,0,0,-0.3,0,458
464,less than 20,0,1,1,3,1,0,0.8,0,458
464,less than 20,1,1,1,2,1,1,1.4,1,458
464,less than 20,0,1,0,2,1,3,1.6,0,458
464,less than 20,0,1,0,4,1,3,-0.7,0,458
464,less than 20,1,1,1,3,1,2,-0.3,1,458
464,less than 20,0,1,1,1,1,7,1.6,1,458
464,less than 20,0,1,0,5,0,2,1.9,1,458
464,less than 20,0,1,0,5,1,1,-1.2,2,458
464,less than 20,1,1,0,0,1,9,2.3,0,458
464,less than 20,1,1,1,4,1,0,0.1,0,458
464,less than 20,0,1,0,3,1,2,0.4,1,458
464,less than 20,2,1,1,3,1,0,-2.9,2,458
463,less than 20,1,1,1,2,1,5,1.5,1,474
463,less than 20,0,1,1,3,1,4,-0.4,0,474
463,less than 20,0,1,0,2,1,4,0.5,1,474
463,less than 20,0,1,1,5,0,0,2.7,0,474
463,less than 20,0,0,1,0,0,0,0.1,0,474
463,less than 20,0,1,2,1,1,1,-0.1,0,474
463,less than 20,1,1,2,0,1,0,0.2,0,474
463,less than 20,1,1,1,2,0,0,0.7,0,474
463,less than 20,0,1,0,2,1,3,4.1,2,474
463,less than 20,0,1,0,4,1,0,1.6,0,474
463,less than 20,0,1,2,3,1,0,0.6,0,474
463,less than 20,0,1,0,12,1,0,-3.0,0,474
462,less than 20,2,1,2,0,1,0,-0.6,0,488
462,less than 20,0,1,1,3,1,0,1.1,1,488
462,less than 20,0,1,0,5,1,1,-0.8,2,488
462,less than 20,0,1,1,0,1,15,2.1,0,488
462,less than 20,1,1,1,1,0,1,1.7,0,488
462,less than 20,1,1,1,2,1,0,-0.7,0,488
462,less than 20,1,1,1,4,1,0,1.6,0,488
461,less than 20,1,1,2,1,1,6,-0.5,0,497
461,less than 20,1,1,1,1,1,0,1.1,1,497
461,less than 20,2,1,2,1,1,2,0.2,0,497
461,less than 20,1,1,2,2,1,0,-0.1,1,497
461,less than 20,0,1,0,3,1,1,-1.6,0,497
461,less than 20,1,1,2,1,0,1,-0.7,1,497
461,less than 20,1,1,1,1,1,3,-1.2,1,497
461,less than 20,1,1,2,1,1,2,0.3,0,497
461,less than 20,1,1,2,0,1,4,0.4,0,497
461,less than 20,0,1,0,0,0,8,1.2,0,497
461,less than 20,1,1,1,1,1,5,-2.2,0,497
461,less than 20,0,1,0,1,1,8,-4.5,0,497
461,less than 20,1,1,3,1,1,0,-0.1,0,497
460,less than 20,0,1,0,1,1,4,0.3,0,512
460,less than 20,0,1,0,0,0,0,-0.6,0,512
460,less than 20,0,1,0,0,1,10,3.6,0,512
460,less than 20,1,1,1,1,1,3,0.9,0,512
460,less than 20,0,0,0,0,0,0,-0.2,0,512
460,less than 20,1,1,2,0,1,1,2.3,0,512
460,less than 20,0,1,0,3,1,6,-0.1,0,512
460,less than 20,0,0,1,0,0,0,-0.3,0,512
460,less than 20,0,1,1,2,1,3,0.9,2,512
460,less than 20,3,1,2,1,1,0,-0.6,1,512
460,less than 20,1,1,1,3,1,4,-1.3,0,512
460,less than 20,1,1,2,2,1,1,1.1,0,512
460,less than 20,3,1,2,1,1,1,-0.6,1,512
460,less than 20,1,1,1,3,1,3,-0.7,0,512
460,less than 20,0,1,0,2,1,0,-0.3,2,512
460,less than 20,1,1,0,3,1,1,-0.2,2,512
460,less than 20,1,1,2,0,1,6,1.1,0,512
460,less than 20,1,1,1,4,1,2,-1.1,1,512
460,less than 20,1,1,1,1,1,1,0.4,0,512
460,less than 20,0,1,1,0,0,0,0.6,0,512
460,less than 20,2,1,1,2,1,2,1.5,0,512
460,less than 20,1,1,1,4,1,0,-0.3,2,512
459,less than 20,1,1,1,4,1,2,-0.6,1,537
459,less than 20,0,1,0,5,1,10,-0.6,0,537
459,less than 20,0,1,1,2,1,0,-0.2,1,537
459,less than 20,0,1,0,6,1,0,1.1,2,537
459,less than 20,0,1,0,3,1,0,0.1,2,537
459,less than 20,2,1,2,1,1,0,0.2,1,537
459,less than 20,1,1,1,1,1,7,-2.2,0,537
459,less than 20,1,1,1,3,1,3,1.0,1,537
459,less than 20,1,1,1,1,1,0,3.0,0,537
459,less than 20,0,1,0,2,1,7,3.2,0,537
458,less than 20,1,1,2,3,0,0,0.3,0,549
458,less than 20,0,0,2,4,0,0,-1.1,0,549
458,less than 20,1,0,3,1,0,0,-0.5,1,549
458,less than 20,1,1,1,2,1,0,1.4,0,549
458,less than 20,0,1,0,3,1,3,1.2,0,549
458,less than 20,0,1,0,6,1,1,-0.7,1,549
458,less than 20,2,1,3,0,1,0,-0.3,0,549
458,less than 20,0,1,0,4,1,0,1.1,0,549
458,less than 20,1,1,1,1,1,1,-0.7,1,549
458,less than 20,2,1,1,1,1,2,0.9,0,549
458,less than 20,1,1,1,1,1,8,-0.7,1,549
