SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
469,less than 20,0,0,0,0,0,0,-0.3,0,381
469,less than 20,2,1,1,0,0,0,-0.2,0,381
469,less than 20,0,1,0,5,1,0,0.1,1,381
469,less than 20,1,1,1,2,1,2,-3.4,0,381
469,less than 20,0,1,0,4,1,1,-0.9,0,381
468,20-30,1,1,1,1,1,1,0.6,1,399
468,20-30,1,1,1,1,1,1,0.0,1,399
468,less than 20,0,1,0,2,1,0,-1.1,1,399
468,less than 20,0,1,1,4,1,0,1.3,3,399
468,less than 20,2,1,1,4,1,0,0.1,0,399
468,less than 20,1,1,3,2,1,0,-0.7,1,399
468,less than 20,0,1,1,3,1,2,4.5,1,399
468,less than 20,1,1,2,3,1,3,-1.1,1,399
468,less than 20,1,1,0,2,1,2,-0.3,1,399
468,less than 20,0,1,0,0,0,0,-0.1,0,399
468,20-30,1,1,2,2,1,2,0.4,1,399
467,less than 20,0,1,1,1,1,1,3.8,1,410
467,less than 20,1,1,1,2,1,5,0.7,2,410
467,less than 20,0,1,0,0,0,0,-0.7,0,410
467,less than 20,0,1,2,3,1,0,1.1,0,410
467,20-30,0,1,5,0,1,4,-0.2,0,410
467,20-30,2,1,1,3,1,0,0.7,2,410
467,less than 20,1,1,2,1,0,0,-0.4,0,410
467,less than 20,1,1,1,1,1,0,0.4,0,410
467,less than 20,1,1,1,1,1,2,0.3,0,410
467,less than 20,1,1,1,4,1,4,-0.2,2,410
467,less than 20,0,1,0,6,1,0,1.5,3,410
467,less than 20,0,1,1,1,0,0,0.6,1,410
467,less than 20,0,1,0,4,1,0,0.9,2,410
467,less than 20,1,1,1,4,1,1,-1.2,4,410
467,less than 20,1,1,1,2,1,3,0.3,0,410
467,less than 20,2,1,2,1,1,1,0.0,0,410
467,less than 20,1,1,1,2,1,9,1.3,0,410
