SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
340,30-40,0,1,1,1,0,0,0.3,1,46613
340,30-40,0,0,2,1,0,0,-0.4,1,46613
339,30-40,0,1,0,2,1,7,-0.2,0,47945
339,30-40,0,1,0,0,1,4,0.6,0,47945
339,30-40,0,1,1,0,0,0,0.7,0,47945
339,30-40,1,1,1,0,1,3,0.1,0,47945
339,30-40,0,1,0,2,1,4,-0.2,2,47945
339,30-40,0,0,2,0,1,0,-0.1,0,47945
339,30-40,0,1,1,0,0,4,-0.3,0,47945
339,30-40,0,1,2,0,0,4,0.4,0,47945
339,30-40,0,1,0,0,1,9,0.9,0,47945
339,30-40,0,1,2,0,1,1,-0.4,0,47945
339,30-40,0,0,1,0,0,0,0.5,0,47945
339,30-40,0,1,2,0,1,0,-0.6,0,47945
338,30-40,0,1,2,0,1,0,-0.8,0,50120
338,30-40,1,1,1,1,0,0,-0.1,0,50120
338,30-40,1,1,1,0,1,1,0.1,0,50120
338,30-40,0,0,0,1,0,0,0.3,1,50120
338,30-40,0,1,1,1,1,1,0.0,1,50120
338,30-40,0,1,0,1,1,3,1.2,1,50120
338,30-40,0,1,0,0,0,0,-0.4,0,50120
338,30-40,0,1,0,2,1,0,0.2,2,50120
338,30-40,0,1,0,1,1,0,2.6,1,50120
338,30-40,1,1,1,0,1,1,0.6,0,50120
338,30-40,0,1,1,0,0,1,0.9,0,50120
338,30-40,0,1,0,0,1,8,0.6,0,50120
338,30-40,0,1,0,2,1,0,0.3,2,50120
338,30-40,0,1,0,2,1,0,0.1,2,50120
338,30-40,0,1,1,1,1,0,0.4,0,50120
337,30-40,0,1,0,1,1,2,0.7,0,53854
337,30-40,0,1,0,0,0,1,-0.5,0,53854
337,30-40,1,1,1,0,0,0,0.7,0,53854
337,30-40,0,1,0,3,1,1,-0.8,2,53854
337,30-40,1,1,1,0,1,3,-0.2,0,53854
337,30-40,1,1,1,0,1,3,0.2,0,53854
337,30-40,1,1,1,0,1,3,0.0,0,53854
337,30-40,0,1,0,0,1,0,-1.0,0,53854
337,30-40,0,1,1,0,0,3,0.5,0,53854
337,30-40,0,1,0,0,1,9,1.4,0,53854
337,30-40,0,1,0,2,1,2,-0.4,2,53854
337,30-40,1,1,1,0,0,0,0.4,0,53854
337,30-40,1,1,1,0,1,1,0.1,0,53854
337,30-40,0,1,0,1,1,2,0.4,1,53854
337,30-40,0,1,0,4,1,0,-0.7,1,53854
337,30-40,0,1,1,1,1,0,0.0,1,53854
336,30-40,0,1,0,2,0,0,0.6,0,56455
336,30-40,0,1,0,1,1,2,1.4,1,56455
336,30-40,0,1,1,0,0,1,1.3,0,56455
336,30-40,0,1,1,1,1,1,-0.6,1,56455
336,30-40,0,1,1,0,0,1,0.1,0,56455
336,30-40,1,1,0,1,0,4,-0.3,1,56455
336,30-40,1,1,1,0,0,1,0.1,0,56455
336,30-40,0,1,0,2,0,0,0.6,2,56455
336,30-40,1,1,0,1,1,2,1.7,1,56455
335,30-40,0,0,2,0,0,0,0.2,0,57875
335,30-40,1,1,1,0,1,1,-1.6,0,57875
335,30-40,1,1,1,0,1,0,0.3,0,57875
335,30-40,1,1,1,0,1,0,0.4,0,57875
335,30-40,1,1,1,0,1,0,0.1,0,57875
335,30-40,1,1,1,0,1,1,-0.1,0,57875
335,30-40,1,1,0,1,1,5,-1.6,1,57875
335,30-40,1,1,1,0,0,0,0.3,0,57875
335,30-40,0,1,1,1,0,0,0.0,1,57875
335,30-40,0,1,2,0,1,0,-0.7,0,57875
335,30-40,0,1,2,1,0,0,-0.3,0,57875
335,30-40,0,1,1,1,1,2,0.2,0,57875
335,30-40,1,1,1,0,0,0,0.3,0,57875
335,30-40,0,1,0,0,0,1,0.1,0,57875
335,30-40,0,1,0,3,0,0,-0.3,2,57875
335,30-40,0,1,1,0,1,2,0.6,0,57875
334,30-40,0,1,0,1,1,1,2.2,1,60627
334,30-40,1,1,1,1,1,0,-0.3,1,60627
334,30-40,1,1,1,0,1,1,0.0,0,60627
334,30-40,0,1,2,0,0,0,-0.1,0,60627
334,30-40,0,1,0,2,1,1,0.5,1,60627
334,30-40,0,1,2,0,1,1,-0.5,0,60627
334,30-40,0,1,2,0,0,0,-0.3,0,60627
334,30-40,0,0,2,0,0,0,-0.1,0,60627
334,30-40,0,1,1,1,1,0,0.0,1,60627
334,30-40,1,1,0,0,1,5,1.1,0,60627
334,30-40,1,1,1,0,1,1,-0.5,0,60627
334,30-40,0,0,0,0,1,1,-0.9,0,60627
334,30-40,0,1,0,2,1,0,0.4,2,60627
334,30-40,0,1,0,3,1,0,1.1,0,60627
334,30-40,0,1,1,0,0,4,0.3,0,60627
334,30-40,0,1,1,0,0,1,0.1,0,60627
334,30-40,1,1,0,2,1,0,0.0,1,60627
334,30-40,1,0,0,2,0,2,-0.7,2,60627
334,30-40,0,0,2,0,0,0,0.1,0,60627
334,30-40,1,1,1,0,1,1,0.1,0,60627
334,30-40,0,1,0,2,1,0,0.3,2,60627
333,30-40,0,1,0,3,0,1,0.9,0,64759
333,30-40,1,1,1,0,1,5,-1.0,0,64759
333,30-40,0,1,0,2,1,1,1.4,1,64759
333,30-40,0,1,0,2,1,2,-0.3,1,64759
333,30-40,0,1,0,1,0,0,0.4,1,64759
333,30-40,0,1,0,3,0,0,0.1,2,64759
333,30-40,0,0,0,1,0,0,0.6,1,64759
333,30-40,1,1,1,0,1,3,-1.4,0,64759
333,30-40,0,1,1,0,1,3,0.1,0,64759
333,30-40,1,1,1,0,1,0,-0.3,0,64759
333,30-40,0,1,0,0,1,10,0.3,0,64759
333,30-40,1,1,1,1,1,1,-0.3,0,64759
333,30-40,1,1,0,0,1,3,0.8,0,64759
333,30-40,1,1,1,0,1,2,0.2,0,64759
333,30-40,1,1,0,1,1,0,-0.3,1,64759
333,30-40,0,1,0,2,1,3,0.6,1,64759
333,30-40,1,1,1,0,0,0,0.2,0,64759
333,30-40,0,1,0,2,1,3,-0.2,1,64759
333,30-40,1,1,0,1,1,0,-0.2,0,64759
333,30-40,0,1,0,1,1,1,0.1,1,64759
332,30-40,0,1,1,0,0,1,2.2,0,67500
332,30-40,0,1,1,0,1,0,1.0,0,67500
332,30-40,1,1,1,0,1,1,0.0,0,67500
332,30-40,1,1,0,1,1,2,1.8,0,67500
332,30-40,0,1,2,0,0,0,-0.2,0,67500
332,30-40,0,1,0,1,1,3,0.6,0,67500
332,30-40,1,1,1,0,1,1,-0.2,0,67500
332,30-40,1,1,1,0,1,1,0.3,0,67500
332,30-40,0,0,0,2,0,0,0.1,2,67500
332,30-40,1,1,1,0,1,0,-0.1,0,67500
332,30-40,0,1,0,2,0,0,1.3,1,67500
332,30-40,0,1,0,2,1,1,0.3,1,67500
332,30-40,0,1,0,0,1,10,-0.3,0,67500
332,30-40,0,1,1,0,1,1,0.4,0,67500
331,30-40,0,1,0,0,0,6,0.9,0,69037
331,30-40,0,1,0,1,1,1,0.6,1,69037
331,30-40,0,1,0,1,1,0,-0.4,0,69037
331,30-40,1,1,1,0,1,0,0.1,0,69037
331,30-40,1,1,1,0,0,0,0.1,0,69037
331,30-40,1,1,1,0,0,0,0.3,0,69037
331,30-40,0,1,2,0,0,0,0.0,0,69037
331,30-40,0,1,0,1,1,3,0.8,1,69037
331,30-40,0,1,0,1,0,0,1.0,1,69037
331,30-40,0,1,1,0,1,4,0.0,0,69037
331,30-40,0,1,1,1,0,0,0.4,0,69037
331,30-40,0,1,0,2,0,0,0.5,2,69037
331,30-40,0,1,1,0,0,0,0.8,0,69037
331,30-40,0,0,1,1,0,0,0.4,0,69037
331,30-40,0,0,0,2,0,0,0.2,2,69037
331,30-40,1,1,0,2,1,1,-0.7,1,69037
331,30-40,0,1,1,0,1,1,0.0,0,69037
331,30-40,1,1,1,0,1,3,0.3,0,69037
331,30-40,0,1,2,0,0,1,0.2,0,69037
331,30-40,0,1,0,2,1,0,0.6,0,69037
331,30-40,0,1,0,0,1,0,0.2,0,69037
331,30-40,0,1,0,2,1,0,0.6,2,69037
331,30-40,0,1,0,2,1,2,0.6,0,69037
331,30-40,1,1,1,0,0,0,0.2,0,69037
331,30-40,0,1,1,1,1,1,0.0,0,69037
331,30-40,0,0,1,1,0,0,0.4,0,69037
331,30-40,0,1,0,1,1,3,0.3,1,69037
330,30-40,0,1,0,2,0,0,0.6,2,72075
330,30-40,0,1,1,1,0,0,0.3,0,72075
330,30-40,0,1,0,1,0,1,0.6,1,72075
330,30-40,0,1,1,0,1,1,0.3,0,72075
330,30-40,0,1,0,1,1,2,0.3,1,72075
330,30-40,0,1,1,0,1,2,0.4,0,72075
330,30-40,1,1,1,0,1,0,-0.1,0,72075
330,30-40,1,1,1,0,1,2,-0.4,0,72075
330,30-40,0,1,0,1,1,2,0.3,1,72075
330,30-40,0,1,1,0,1,0,0.5,0,72075
330,30-40,0,1,0,1,1,1,-0.1,1,72075
330,30-40,0,1,0,2,1,1,-0.2,2,72075
330,30-40,0,1,1,0,0,0,-0.1,0,72075
330,30-40,0,1,2,0,0,0,-0.6,0,72075
330,30-40,0,1,0,0,1,2,0.8,0,72075
330,30-40,0,0,1,1,0,0,0.1,0,72075
330,30-40,2,1,0,0,1,2,-0.5,0,72075
330,30-40,1,1,1,0,1,0,-0.1,0,72075
330,30-40,0,1,2,0,0,0,-0.3,0,72075
330,30-40,1,1,0,2,1,3,-0.5,0,72075
330,30-40,0,1,0,2,1,1,0.2,1,72075
330,30-40,3,1,0,1,1,3,0.0,0,72075
329,30-40,0,1,1,1,1,0,0.4,1,76437
329,30-40,0,1,0,2,1,1,0.4,1,76437
329,30-40,0,1,0,1,1,10,-3.6,1,76437
329,30-40,1,1,0,0,1,4,1.1,0,76437
329,30-40,0,1,0,1,1,1,0.4,1,76437
329,30-40,0,1,0,0,1,3,0.5,0,76437
329,30-40,0,1,1,0,1,2,0.0,0,76437
329,30-40,1,1,1,0,0,1,-0.3,0,76437
329,30-40,2,1,0,2,1,0,-0.2,0,76437
329,30-40,0,1,1,1,1,1,-0.5,0,76437
329,30-40,1,1,1,0,1,1,-0.2,0,76437
329,30-40,0,1,1,1,1,0,-0.1,0,76437
329,30-40,0,1,0,1,1,3,0.8,0,76437
329,30-40,0,1,1,0,0,0,0.9,0,76437
329,30-40,1,1,1,0,1,0,-0.2,0,76437
329,30-40,0,1,0,1,1,0,0.8,1,76437
329,30-40,0,1,1,0,1,0,-0.3,0,76437
329,30-40,1,1,1,0,1,3,0.0,0,76437
329,30-40,0,1,0,1,1,0,0.2,1,76437
329,30-40,0,1,0,1,1,6,2.2,0,76437
329,30-40,1,1,1,0,1,0,-0.2,0,76437
329,30-40,0,1,0,2,1,3,0.3,0,76437
329,30-40,1,1,1,0,0,3,-0.1,0,76437
329,30-40,0,1,1,0,1,3,0.0,0,76437
329,30-40,1,1,1,1,1,0,0.3,1,76437
329,30-40,0,1,0,0,1,9,0.9,0,76437
329,30-40,1,1,1,0,1,0,-0.3,0,76437
329,30-40,0,1,0,1,0,0,0.7,1,76437
329,30-40,0,1,1,0,0,1,0.3,0,76437
329,30-40,0,1,0,2,0,0,0.4,0,76437
329,30-40,0,1,0,0,0,0,0.2,0,76437
329,30-40,0,1,0,2,0,0,0.9,1,76437
328,30-40,1,1,0,1,1,3,-0.2,0,79473
328,30-40,0,1,0,1,1,1,0.9,1,79473
328,30-40,1,1,1,0,1,0,0.5,0,79473
328,30-40,0,0,1,0,0,0,-0.2,0,79473
328,30-40,1,1,1,0,1,0,0.5,0,79473
328,30-40,0,1,0,1,0,2,0.5,1,79473
328,30-40,1,0,1,0,0,0,0.1,0,79473
328,30-40,0,1,0,0,0,1,-0.3,0,79473
